"Transfer Received Date";"From Stock";"To Stock";"Product Code";"Product Name";"Transfer Quantity";"Serial Number";"IMEI Number";"Transfer Value"
"2026-06-18";"DC_MSPI-Owned";"FES-MSPI-Owned";"661-56065";"Display, iPhone 17";"1";"GVCHR9008LK0000U6M";"";"329.00"
"2026-06-18";"DC_MSPI-Owned";"FES-MSPI-Owned";"661-55240";"Display, iPhone Air";"1";"GVCHKB00VQL0000HU9";"";"329.00"
"2026-06-18";"DC_MSPI-Owned";"FES-MSPI-Owned";"661-56049";"Battery, pSIM, iPhone 17 Pro Max";"1";"FG9HL5014E600015XX";"";"119.00"
"2026-06-18";"DC_MSPI-Owned";"FES-MSPI-Owned";"661-44954";"Battery, iPhone 16 Pro Max";"1";"F8YHQ5H0GZB0000UMK";"";"119.00"
"2026-06-18";"DC_MSPI-Owned";"FES-MSPI-Owned";"661-42837";"Battery, iPhone 16 Plus";"1";"F8YHNW00A550000RSS";"";"99.00"
"2026-06-18";"DC_MSPI-Owned";"FES-MSPI-Owned";"661-44796";"Battery, iPhone 16";"1";"FG9HNP000050000R3T";"";"99.00"
"2026-06-18";"DC_MSPI-Owned";"FES-MSPI-Owned";"661-42720";"Battery, iPhone 16 Pro";"1";"F8YHQMA02F40000RZ2";"";"119.00"
"2026-06-18";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-56049";"Battery, pSIM, iPhone 17 Pro Max";"1";"FG9HL501A6900015XX";"";"119.00"
"2026-06-22";"GL5_MSPI-Owned";"GB3-MSPI-Owned";"661-22311";"Display, iPhone 13 mini";"1";"G9Q4523A26UPRRDAR";"";"192.00"
"2026-06-22";"GL5_MSPI-Owned";"GB3-MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6172C0X518FKBK";"";"89.00"
"2026-06-22";"GL5_MSPI-Owned";"GB3-MSPI-Owned";"661-30382";"Battery, iPhone 14 Pro";"1";"F8Y6162C06W217WBM";"";"99.00"
"2026-06-22";"VER_MSPI-Owned";"TRI-MSPI-Owned";"661-22311";"Display, iPhone 13 mini";"1";"G9Q4483AG18PRRDAV";"";"None"
"2026-06-23";"MEG-MSPI-Owned";"MEG-Repair";"661-42726";"Display, iPhone 16 Pro";"1";"G9PHLTT0NXF00005DP";"";"0.00"
"2026-06-23";"GL5_MSPI-Owned";"GB3-MSPI-Owned";"661-35694";"Battery, iPhone 15 Pro";"1";"F8YHTAD055R00006TP";"";"99.00"
"2026-06-26";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-35828";"Camera, iPhone 15";"1";"DN83341MDKD1MCN3R";"";"169.00"
"2026-06-27";"MEG-Repair";"MEG-MSPI-Owned";"661-42726";"Display, iPhone 16 Pro";"1";"G9PHLST318500005DP";"";"0.00"
"2026-06-27";"GL5_MSPI-Owned";"GB3-MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6172C51T18FKBE";"";"None"
"2026-06-27";"GL5_MSPI-Owned";"GB3-MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6172C2A518FKBC";"";"89.00"
"2026-06-29";"GL5_MSPI-Owned";"MAG-MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6172C4ZT18FKBM";"";"89.00"
"2026-07-01";"MAG-MSPI-Owned";"FES-MSPI-Owned";"661-22294";"Battery, iPhone 13 Pro Max";"1";"F8Y6066C17P13XCB2";"";"89.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-22294";"Battery, iPhone 13 Pro Max";"1";"F8Y6182C1GD13XCBG";"";"89.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-56121";"Battery, pSIM, iPhone 17 Pro";"1";"F8YHKFY0LTZ000161P";"";"119.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-37207";"Battery, iPhone 15 Plus";"1";"F8YHTCC00VY00006U0";"";"99.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-35694";"Battery, iPhone 15 Pro";"1";"F8YHT8D051M00006TP";"";"99.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-30373";"Battery, iPhone 14";"1";"F8Y6181C2YD231LBD";"";"99.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-30397";"Battery, iPhone 14 Pro Max";"1";"F8Y6166C0Y820J9BJ";"";"99.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-30382";"Battery, iPhone 14 Pro";"1";"F8Y6162C59W217WB7";"";"99.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-30382";"Battery, iPhone 14 Pro";"1";"F8Y6157C2SB217WBA";"";"99.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-21996";"Battery, iPhone 13 Pro";"1";"F8Y6164C0A013RHCU";"";"89.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-30397";"Battery, iPhone 14 Pro Max";"1";"F8Y6166C24Y20J9B8";"";"99.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-21996";"Battery, iPhone 13 Pro";"1";"F8Y6165C4B413RHCG";"";"89.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C0BL18FKBE";"";"89.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6206C30K18FKB9";"";"89.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C15918FKB8";"";"89.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-22294";"Battery, iPhone 13 Pro Max";"1";"F8Y6182C1FY13XCB0";"";"89.00"
