id,date,method,pathname,status,timestamp,level,event_message,log_type,log_count,logs,auth_user
1a425e1b-f1d3-45ce-903d-0d2a5a0008c9,"""2026-09-17T08:55:58.267Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:58.267000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
095eb665-f24b-4ea8-94cf-30cef2148f4b,"""2026-09-17T08:55:58.102Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:58.102000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
81403a00-23f9-4855-8e79-040ca086aa48,"""2026-09-17T08:55:57.967Z""",GET,/rest/v1/profiles,200,2026-09-17T08:55:57.967000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/profiles?select=id%2Cemail%2Cfull_name%2Crole%2Crole_position%2Csite_id%2Chas_set_password%2Cis_active%2Cis_deleted%2Ccreated_at%2Cupdated_at&order=created_at.asc | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
cdc804fc-336d-4b25-ba4c-ddd4b408288d,"""2026-09-17T08:55:57.826Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:57.826000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
ad647534-3147-47b6-be53-2944d4570b39,"""2026-09-17T08:55:57.661Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:57.661000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
3de6e995-1bad-4ea6-bae6-143579c99e7f,"""2026-09-17T08:55:57.523Z""",GET,/rest/v1/profiles,200,2026-09-17T08:55:57.523000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/profiles?select=id%2Cemail%2Cfull_name%2Crole%2Crole_position%2Csite_id%2Chas_set_password%2Cis_active%2Cis_deleted%2Ccreated_at%2Cupdated_at&order=created_at.asc | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
69f57002-75b9-4acc-8324-9b8073b8fea2,"""2026-09-17T08:55:57.388Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:57.388000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
a939dad6-4e0a-4926-a0e9-76da10679365,"""2026-09-17T08:55:57.185Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:57.185000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
1ebefbbe-5a39-4627-a839-1e541f54311f,"""2026-09-17T08:55:57.028Z""",GET,/rest/v1/profiles,200,2026-09-17T08:55:57.028000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/profiles?select=id%2Cemail%2Cfull_name%2Crole%2Crole_position%2Csite_id%2Chas_set_password%2Cis_active%2Cis_deleted%2Ccreated_at%2Cupdated_at&order=created_at.asc | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
01edd811-0f60-4c05-a008-01f55622436f,"""2026-09-17T08:55:56.863Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:56.863000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
fd45f893-492c-4c26-b884-46b3d444be43,"""2026-09-17T08:55:56.651Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:56.651000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
2cb08f19-38a2-4cd7-a232-c14f35429f89,"""2026-09-17T08:55:56.479Z""",GET,/rest/v1/profiles,200,2026-09-17T08:55:56.479000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/profiles?select=id%2Cemail%2Cfull_name%2Crole%2Crole_position%2Csite_id%2Chas_set_password%2Cis_active%2Cis_deleted%2Ccreated_at%2Cupdated_at&order=created_at.asc | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
2047ad90-b23a-463a-b112-23d15b6b1769,"""2026-09-17T08:55:56.341Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:56.341000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
6aa97e17-b001-4a7c-8c77-b4156f7881d1,"""2026-09-17T08:55:56.151Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:56.151000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
266f61b0-49d0-4fb1-990c-248fcfda06f2,"""2026-09-17T08:55:56.004Z""",GET,/rest/v1/profiles,200,2026-09-17T08:55:56.004000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/profiles?select=id%2Cemail%2Cfull_name%2Crole%2Crole_position%2Csite_id%2Chas_set_password%2Cis_active%2Cis_deleted%2Ccreated_at%2Cupdated_at&order=created_at.asc | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
ef3da275-0cf4-41c3-800f-faac617a8413,"""2026-09-17T08:55:55.858Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:55.858000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
9bfca6ef-bf26-466a-b61b-1e2446e16286,"""2026-09-17T08:55:55.715Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:55.715000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
35788739-ceb3-45ea-ba82-3a65b409c30f,"""2026-09-17T08:55:55.496Z""",GET,/rest/v1/profiles,200,2026-09-17T08:55:55.496000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/profiles?select=id%2Cemail%2Cfull_name%2Crole%2Crole_position%2Csite_id%2Chas_set_password%2Cis_active%2Cis_deleted%2Ccreated_at%2Cupdated_at&order=created_at.asc | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
